ticker,period,quarter,sales,gross_profit,operating_profit
24370,2023-05-31,FY,3647000000,,544000000
24400,2025-03-31,1Q,2879000000,,144000000
24490,2021-08-31,FY,8211000000,,312000000
24540,2021-03-31,FY,17283000000,,909000000
24770,2022-06-30,FY,1631000000,,1168000000
24800,2021-03-31,FY,1136000000,,436000000
24840,2022-08-31,FY,47314000000,,-36442000000
25850,2026-03-31,3Q,40672000000,,4622000000
25970,2021-12-31,FY,15218000000,,13000000
26070,2024-03-31,FY,564087000000,,18213000000
26560,2021-03-31,FY,867000000,,-70000000
26560,2022-03-31,1Q,103000000,,-70000000
26560,2022-03-31,2Q,196000000,,-147000000
26560,2022-03-31,3Q,283000000,,-235000000
26560,2022-03-31,FY,365000000,,-345000000
26560,2023-03-31,1Q,68000000,,-65000000
26560,2023-03-31,2Q,130000000,,-129000000
26560,2023-03-31,3Q,197000000,,-191000000
26560,2023-03-31,FY,246000000,,-354000000
26560,2024-03-31,1Q,62000000,,-148000000
26560,2024-03-31,2Q,100000000,,-402000000
27760,2023-01-31,2Q,1815000000,,-142000000
28020,2022-03-31,1Q,276338000000,,36343000000
28020,2022-03-31,2Q,550230000000,,81720000000
28020,2022-03-31,3Q,854228000000,,121831000000
28020,2023-03-31,1Q,321619000000,,41610000000
28020,2023-03-31,2Q,659853000000,,73605000000
28020,2023-03-31,3Q,1026721000000,,117719000000
28020,2024-03-31,1Q,339521000000,,40593000000
28020,2024-03-31,2Q,688004000000,,72658000000
28020,2024-03-31,3Q,1067645000000,,117390000000
28140,2024-03-31,2Q,2934000000,,260000000
28150,2021-03-31,FY,49684000000,,10046000000
28150,2022-03-31,FY,52658000000,,10682000000
28150,2023-03-31,1Q,13099000000,,2229000000
285A0,2026-03-31,1Q,342799000000,,44899000000
28740,2025-09-30,2Q,63425000000,,3042000000
28740,2025-09-30,FY,125563000000,,4238000000
28830,2021-03-31,FY,22507000000,,954000000
29040,2023-06-30,FY,32814000000,,-193000000
29100,2023-04-30,FY,49970000000,,1500000000
29100,2024-04-30,1Q,12580000000,,482000000
29170,2025-09-30,FY,16511000000,,-66000000
29260,2025-09-30,FY,2940000000,,59000000
29270,2022-08-31,FY,22997000000,,1011000000
29290,2023-07-31,FY,68572000000,,3610000000
29320,2024-12-31,FY,35580000000,,2901000000
29610,2023-09-30,1Q,1962000000,,-385000000
29710,2021-01-31,FY,1922000000,,1111000000
29710,2021-07-31,FY,1910000000,,1094000000
29710,2022-01-31,FY,2476000000,,1506000000
29710,2022-07-31,FY,2706000000,,1382000000
29710,2023-01-31,FY,2541000000,,1362000000
29710,2023-07-31,FY,2497000000,,1255000000
29710,2024-01-31,FY,2444000000,,1274000000
29710,2024-07-31,FY,3049000000,,1312000000
29710,2025-01-31,FY,2794000000,,1439000000
29710,2025-07-31,FY,3124000000,,1668000000
29720,2021-02-28,FY,2147000000,,1118000000
29720,2021-08-31,FY,2176000000,,1141000000
29720,2022-02-28,FY,2778000000,,1540000000
29720,2022-08-31,FY,3028000000,,1630000000
29720,2023-02-28,FY,2891000000,,1243000000
29720,2023-08-31,FY,2751000000,,1334000000
29720,2024-02-29,FY,7778000000,,1229000000
29720,2024-08-31,FY,2461000000,,1299000000
29720,2025-02-28,FY,2516000000,,1352000000
29720,2025-08-31,FY,2611000000,,1347000000
29790,2021-05-31,FY,3061000000,,1583000000
29790,2021-11-30,FY,3143000000,,1557000000
29790,2022-05-31,FY,3573000000,,1775000000
29790,2022-11-30,FY,3823000000,,1778000000
29790,2023-05-31,FY,4194000000,,1934000000
29790,2023-11-30,FY,4336000000,,2041000000
29790,2024-05-31,FY,4252000000,,2005000000
29790,2024-11-30,FY,4326000000,,2011000000
29790,2025-05-31,FY,4738000000,,2229000000
29790,2025-11-30,FY,4784000000,,2249000000
