ticker,period,quarter,sales,gross_profit,operating_profit
45910,2022-03-31,3Q,7000000,,-1126000000
45910,2022-03-31,FY,80000000,,-1748000000
45910,2023-03-31,1Q,2000000,,-632000000
45910,2023-03-31,2Q,3000000,,-927000000
45910,2023-03-31,3Q,3000000,,-1512000000
45910,2023-03-31,FY,65000000,,-1786000000
45910,2024-03-31,1Q,97234000,,-338000000
45910,2024-03-31,2Q,182522000,,-581000000
45910,2024-03-31,3Q,267552000,,-829000000
45910,2024-03-31,FY,351866000,,-1116000000
45910,2025-03-31,1Q,1000000,,-257000000
45910,2025-03-31,2Q,2000000,,-512000000
45910,2025-03-31,3Q,2000000,,-775000000
45910,2025-03-31,FY,2000000,,-1050000000
45910,2026-03-31,3Q,0,,-788000000
45930,2021-12-31,1Q,9000000,,-1405000000
45930,2021-12-31,2Q,20000000,,-2443000000
45930,2021-12-31,3Q,30000000,,-3872000000
45930,2021-12-31,FY,41000000,,-5384000000
45930,2022-12-31,1Q,11000000,,-1429000000
45930,2022-12-31,2Q,22000000,,-3064000000
45930,2022-12-31,3Q,30000000,,-4105000000
45930,2022-12-31,FY,90000000,,-5179000000
45930,2023-12-31,1Q,7000000,,-888000000
45930,2024-12-31,1Q,10000000,,-1049000000
45960,2020-12-31,FY,38000000,,-2484000000
45960,2021-12-31,1Q,0,,-686000000
45980,2021-03-31,FY,300000000,,-852000000
45980,2022-03-31,1Q,100000000,,-304000000
45980,2022-03-31,2Q,100000000,,-554000000
45980,2022-03-31,3Q,100000000,,-832000000
45980,2022-03-31,FY,300000000,,-961000000
45990,2021-07-31,2Q,210000000,,-777000000
45990,2021-07-31,3Q,210000000,,-1294000000
45990,2021-07-31,FY,1400000000,,-593000000
45990,2022-07-31,1Q,22000000,,-489000000
45990,2022-07-31,2Q,22000000,,-1006000000
45990,2022-07-31,3Q,22000000,,-1506000000
45990,2022-07-31,FY,22000000,,-1980000000
45990,2023-07-31,3Q,2350000000,,755000000
45990,2023-07-31,FY,2350000000,,142000000
46150,2024-03-31,FY,18954000000,,-479000000
46170,2023-03-31,1Q,21245000000,,-450000000
46350,2023-03-31,2Q,20745000000,,-109000000
46890,2023-03-31,2Q,784909000000,,99478000000
46890,2023-03-31,FY,1672377000000,,314533000000
47090,2024-03-31,FY,32680000000,,2769000000
471A0,2025-12-31,FY,29826000000,,9873000000
47200,2024-03-31,1Q,1319000000,,-157000000
47280,2021-08-31,3Q,4199000000,,108000000
47280,2024-08-31,FY,4615000000,,-522000000
47550,2021-12-31,1Q,391513000000,,-37340000000
47550,2021-12-31,2Q,793671000000,,-100889000000
47550,2021-12-31,3Q,1200574000000,,-108362000000
47550,2021-12-31,FY,1681757000000,,-194726000000
47550,2022-12-31,1Q,437127000000,,-112604000000
47550,2022-12-31,2Q,893598000000,,-197075000000
47550,2022-12-31,3Q,1364708000000,,-287093000000
47550,2022-12-31,FY,1927878000000,,-363892000000
47550,2023-12-31,1Q,475635000000,,-76194000000
47550,2023-12-31,2Q,972800000000,,-125087000000
47550,2023-12-31,3Q,1491239000000,,-179578000000
47550,2023-12-31,FY,2071315000000,,-212857000000
47550,2024-12-31,1Q,513624000000,,-33272000000
47550,2024-12-31,2Q,1050908000000,,-51603000000
47550,2024-12-31,3Q,1617621000000,,-51066000000
47550,2024-12-31,FY,2279233000000,,52975000000
47550,2025-12-31,1Q,562704000000,,-15444000000
47550,2025-12-31,2Q,1159073000000,,-6610000000
47550,2025-12-31,3Q,1787635000000,,1346000000
47550,2025-12-31,FY,2496575000000,,14382000000
47620,2022-03-31,2Q,2628000000,,394000000
47720,2021-12-31,FY,5631000000,,-648000000
48260,2023-06-30,1Q,5448000000,,401000000
48280,2021-03-31,FY,17855000000,,2032000000
48810,2021-12-31,1Q,1000000,,-160000000
48810,2021-12-31,2Q,126000000,,-186000000
48810,2021-12-31,3Q,126000000,,-451000000
48810,2021-12-31,FY,126000000,,-745000000
48810,2022-12-31,1Q,0,,-255000000
48810,2022-12-31,2Q,0,,-515000000
48810,2022-12-31,3Q,0,,-811000000
48810,2022-12-31,FY,1000000,,-1169000000
48810,2023-12-31,1Q,0,,-378000000
48810,2023-12-31,2Q,0,,-622000000
48810,2023-12-31,3Q,0,,-805000000
48810,2023-12-31,FY,0,,-994000000
48810,2024-12-31,1Q,0,,-183000000
48810,2024-12-31,2Q,0,,-395000000
48810,2024-12-31,3Q,3000000,,-579000000
48810,2024-12-31,FY,6000000,,-901000000
48810,2025-12-31,1Q,0,,-603000000
48810,2025-12-31,2Q,0,,-909000000
48810,2025-12-31,3Q,0,,-1253000000
48810,2025-12-31,FY,0,,-1648000000
48820,2025-03-31,1Q,20000000,,-221000000
48830,2021-12-31,1Q,0,,-252000000
48830,2021-12-31,2Q,1000000,,-477000000
48830,2021-12-31,3Q,1000000,,-677000000
48830,2021-12-31,FY,1000000,,-1239000000
48830,2022-12-31,1Q,40000000,,-466000000
48830,2022-12-31,2Q,40000000,,-868000000
48830,2022-12-31,3Q,40000000,,-1438000000
48830,2022-12-31,FY,40000000,,-2063000000
48830,2023-12-31,1Q,71137000,,-514000000
48830,2023-12-31,2Q,138360000,,-1044000000
48830,2023-12-31,3Q,207765000,,-1609000000
48830,2023-12-31,FY,267812000,,-2370000000
48830,2024-12-31,1Q,67482000,,-490000000
48830,2024-12-31,2Q,122437000,,-838000000
48830,2024-12-31,3Q,180241000,,-1062000000
48830,2024-12-31,FY,245476000,,-1337000000
48880,2024-03-31,2Q,153000000,,-301000000
48930,2023-12-31,2Q,11000000,,-481000000
48930,2023-12-31,3Q,314000000,,-495000000
48930,2023-12-31,FY,316000000,,-775000000
48930,2024-12-31,1Q,2000000,,-339000000
48930,2024-12-31,2Q,2000000,,-681000000
48930,2024-12-31,3Q,5000000,,-892000000
48930,2024-12-31,FY,7000000,,-1069000000
48930,2025-12-31,1Q,2000000,,-241000000
48930,2025-12-31,2Q,4000000,,-412000000
48930,2025-12-31,3Q,5000000,,-608000000
48930,2025-12-31,FY,5000000,,-797000000
48960,2024-12-31,1Q,230785000,,-230000000
48960,2024-12-31,2Q,423489000,,-423000000
48960,2024-12-31,3Q,620985000,,-620000000
48960,2024-12-31,FY,836346000,,-836000000
49010,2021-03-31,FY,2192519000000,,165473000000
49010,2022-03-31,1Q,582653000000,,56318000000
49010,2022-03-31,2Q,1205134000000,,107862000000
49010,2022-03-31,3Q,1860902000000,,186453000000
49010,2022-03-31,FY,2525773000000,,229702000000
49010,2023-03-31,1Q,625860000000,,49550000000
49010,2023-03-31,2Q,1349931000000,,120810000000
49010,2023-03-31,3Q,2094260000000,,202637000000
49010,2023-03-31,FY,2859401000000,,273079000000
49010,2023-03-31,FY,2859041000000,,273079000000
49010,2024-03-31,1Q,660759000000,,52217000000
49010,2024-03-31,2Q,1388470000000,,125546000000
49010,2024-03-31,3Q,2155411000000,,204927000000
49010,2024-03-31,FY,2960916000000,,276725000000
49010,2025-03-31,1Q,749015000000,,62193000000
49010,2025-03-31,2Q,1514749000000,,135604000000
49010,2025-03-31,3Q,2327519000000,,223279000000
49010,2025-03-31,FY,3195828000000,,330155000000
49010,2026-03-31,1Q,749482000000,,75291000000
49010,2026-03-31,2Q,1572363000000,,158486000000
49010,2026-03-31,3Q,2429717000000,,248451000000
49180,2025-03-31,2Q,1381000000,,189000000
49180,2025-03-31,FY,2929000000,,422000000
49260,2025-03-31,2Q,4311000000,,-11000000
49340,2021-07-31,FY,32815000000,,4680000000
49580,2021-09-30,2Q,26135000000,,2968000000
49580,2024-09-30,FY,71645000000,,9371000000
49580,2025-09-30,1Q,17643000000,,1901000000
49660,2024-03-31,1Q,17514000000,,2429000000
49740,2022-03-31,1Q,15272000000,,8504000000
50100,2024-12-31,2Q,11193000000,,1193000000
50270,2025-12-31,2Q,25846000000,,744000000
50320,2022-04-30,FY,14164000000,,4191000000
50710,2023-03-31,FY,13219000000,,1279000000
51210,2025-03-31,FY,41325000000,,4807000000
51360,2022-10-31,FY,817000000,,83000000
51360,2023-10-31,1Q,263000000,,54000000
51360,2023-10-31,2Q,539000000,,96000000
51360,2023-10-31,3Q,830000000,,118000000
51360,2023-10-31,FY,1176000000,,177000000
51360,2024-10-31,1Q,344000000,,0
51360,2024-10-31,2Q,765000000,,55000000
51360,2024-10-31,3Q,1290000000,,121000000
51360,2024-10-31,FY,1867000000,,270000000
51360,2025-10-31,1Q,642000000,,125000000
51360,2025-10-31,2Q,1230000000,,238000000
51360,2025-10-31,3Q,1824000000,,324000000
51360,2025-10-31,FY,2573000000,,519000000
51390,2022-12-31,FY,2037000000,,611000000
51390,2023-12-31,1Q,674000000,,264000000
51390,2023-12-31,2Q,1448000000,,509000000
51390,2023-12-31,3Q,2198000000,,763000000
51390,2023-12-31,FY,2922000000,,856000000
51390,2024-12-31,1Q,778000000,,69000000
51390,2024-12-31,2Q,1688000000,,469000000
51390,2024-12-31,3Q,2646000000,,922000000
51390,2024-12-31,FY,3542000000,,1026000000
51390,2025-12-31,1Q,1047000000,,324000000
51390,2025-12-31,2Q,2260000000,,836000000
51390,2025-12-31,3Q,3450000000,,1191000000
51390,2025-12-31,FY,4653000000,,1199000000
51920,2024-03-31,FY,84014000000,,7759000000
52010,2021-12-31,FY,1697383000000,,206168000000
52010,2023-12-31,FY,2019254000000,,128779000000
52330,2025-03-31,1Q,208852000000,,11048000000
52330,2025-03-31,FY,896295000000,,77750000000
53370,2025-12-31,FY,4915000000,,-664000000
53630,2021-03-31,FY,22914000000,,2085000000
54080,2025-03-31,2Q,89533000000,,4783000000
54490,2021-03-31,FY,76601000000,,1413000000
55320,2024-09-30,FY,7948000000,,766000000
55320,2025-09-30,1Q,2816000000,,237000000
55630,2025-12-31,2Q,38104000000,,1985000000
56030,2021-03-31,FY,18068000000,,284000000
56090,2025-03-31,FY,14311000000,,408000000
56310,2022-03-31,FY,213790000000,,15460000000
57210,2021-03-31,FY,1081000000,,-239000000
58190,2021-12-31,2Q,4758000000,,434000000
58190,2023-12-31,FY,12872000000,,1668000000
58420,2023-12-31,3Q,7552000000,,5334000000
58420,2023-12-31,FY,14082000000,,10994000000
58420,2024-12-31,1Q,5008000000,,3659000000
58420,2024-12-31,2Q,9683000000,,6834000000
58420,2024-12-31,3Q,17387000000,,13478000000
58420,2024-12-31,FY,31230000000,,26017000000
58420,2025-12-31,1Q,1003000000,,25000000
58420,2025-12-31,2Q,4955000000,,2890000000
58420,2025-12-31,3Q,8939000000,,5760000000
58420,2025-12-31,FY,13655000000,,9256000000
58560,2024-03-31,FY,19035000000,,-1525000000
58850,2024-05-31,FY,4421000000,,662000000
59050,2024-03-31,2Q,5994000000,,194000000
59150,2021-03-31,FY,30293000000,,456000000
59150,2022-03-31,1Q,6561000000,,48000000
59150,2022-03-31,2Q,13531000000,,894000000
59150,2022-03-31,3Q,21078000000,,1149000000
59150,2022-03-31,FY,29552000000,,1510000000
59150,2023-03-31,1Q,7588000000,,-385000000
59150,2023-03-31,2Q,16503000000,,-436000000
59150,2023-03-31,3Q,26790000000,,-270000000
59150,2023-03-31,FY,39727000000,,315000000
59150,2024-03-31,1Q,13579000000,,-443000000
59150,2024-03-31,2Q,27540000000,,-83000000
59150,2024-03-31,3Q,41071000000,,50000000
59150,2024-03-31,FY,55384000000,,722000000
59150,2025-03-31,1Q,11962000000,,-45000000
59150,2025-03-31,2Q,21620000000,,29000000
59150,2025-03-31,3Q,31154000000,,-371000000
59150,2025-03-31,FY,40553000000,,288000000
59150,2026-03-31,1Q,7873000000,,-215000000
59150,2026-03-31,2Q,15794000000,,106000000
59150,2026-03-31,3Q,24135000000,,55000000
59180,2021-03-31,FY,16170000000,,862000000
59180,2022-03-31,1Q,3126000000,,66000000
59180,2022-03-31,2Q,6433000000,,98000000
59180,2022-03-31,3Q,10812000000,,88000000
59180,2022-03-31,FY,14678000000,,-197000000
59180,2023-03-31,1Q,4422000000,,521000000
59180,2023-03-31,2Q,8379000000,,218000000
59180,2023-03-31,3Q,13333000000,,298000000
59180,2023-03-31,FY,18617000000,,363000000
59180,2024-03-31,1Q,5817000000,,385000000
59180,2024-03-31,2Q,10781000000,,340000000
59180,2024-03-31,3Q,16823000000,,240000000
59180,2024-03-31,FY,23328000000,,625000000
59180,2025-03-31,1Q,6027000000,,-87000000
59180,2025-03-31,2Q,10869000000,,-320000000
59180,2025-03-31,3Q,17615000000,,-288000000
59180,2025-03-31,FY,23840000000,,-389000000
59180,2026-03-31,1Q,5460000000,,165000000
59180,2026-03-31,2Q,11142000000,,212000000
59180,2026-03-31,3Q,16923000000,,482000000
59210,2021-09-30,2Q,8320000000,,922000000
59210,2021-09-30,3Q,13484000000,,1270000000
59210,2021-09-30,FY,18873000000,,1852000000
59210,2022-09-30,1Q,5323000000,,488000000
59210,2022-09-30,2Q,11200000000,,941000000
59210,2022-09-30,3Q,16472000000,,1056000000
59210,2022-09-30,FY,22049000000,,1242000000
59210,2023-09-30,1Q,5763000000,,-10000000
59210,2023-09-30,2Q,13151000000,,834000000
59210,2023-09-30,3Q,19744000000,,1077000000
59210,2023-09-30,FY,25998000000,,1415000000
59210,2024-09-30,1Q,7139000000,,604000000
59210,2024-09-30,2Q,13895000000,,833000000
59210,2024-09-30,3Q,20958000000,,1343000000
59210,2024-09-30,FY,27566000000,,1669000000
59210,2025-09-30,1Q,5952000000,,524000000
59210,2025-09-30,2Q,11764000000,,958000000
59210,2025-09-30,3Q,18026000000,,1662000000
59210,2025-09-30,FY,24219000000,,1873000000
59210,2026-09-30,1Q,5786000000,,-65000000
59230,2021-03-31,FY,15223000000,,858000000
59230,2022-03-31,1Q,4250000000,,530000000
59230,2022-03-31,2Q,8116000000,,576000000
59230,2022-03-31,3Q,11412000000,,443000000
59230,2022-03-31,FY,15669000000,,763000000
59230,2023-03-31,1Q,3713000000,,-215000000
59230,2023-03-31,2Q,7324000000,,163000000
59230,2023-03-31,3Q,11405000000,,261000000
59230,2023-03-31,FY,15978000000,,374000000
59230,2024-03-31,1Q,4452000000,,351000000
59230,2024-03-31,2Q,9268000000,,779000000
59230,2024-03-31,3Q,14405000000,,847000000
59230,2024-03-31,FY,19695000000,,1348000000
59230,2025-03-31,1Q,4566000000,,19000000
59230,2025-03-31,2Q,9291000000,,176000000
59230,2025-03-31,3Q,13469000000,,196000000
59230,2025-03-31,FY,18455000000,,235000000
59230,2026-03-31,1Q,4085000000,,-93000000
59230,2026-03-31,2Q,7382000000,,-274000000
59230,2026-03-31,3Q,10607000000,,-492000000
59280,2022-03-31,3Q,7264000000,,232000000
59400,2025-03-31,2Q,47648000000,,-87000000
59470,2024-03-31,FY,430186000000,,39362000000
59650,2022-12-31,2Q,15783000000,,505000000
59700,2023-03-31,FY,314312000000,,12836000000
59710,2021-04-30,FY,8080000000,,552000000
59730,2022-03-31,FY,12265000000,,41000000
60300,2023-06-30,1Q,4961000000,,1338000000
60340,2020-12-31,FY,2562000000,,264000000
60360,2022-06-30,FY,14358000000,,4326000000
60370,2021-07-31,2Q,833000000,,424000000
60370,2021-07-31,3Q,1281000000,,641000000
60370,2021-07-31,FY,1716000000,,808000000
60370,2021-07-31,FY,1716000000,,808000000
60370,2022-07-31,1Q,466000000,,211000000
60370,2022-07-31,2Q,928000000,,488000000
60370,2022-07-31,3Q,1411000000,,768000000
60370,2022-07-31,FY,1875000000,,1013000000
60370,2023-07-31,1Q,522000000,,300000000
60370,2023-07-31,2Q,1034000000,,559000000
60370,2023-07-31,3Q,1556000000,,839000000
60370,2023-07-31,FY,2093000000,,1125000000
60370,2024-07-31,1Q,554000000,,302000000
60370,2024-07-31,2Q,1125000000,,597000000
60370,2024-07-31,3Q,1722000000,,839000000
60370,2024-07-31,FY,2364000000,,1060000000
60370,2025-07-31,1Q,755000000,,275000000
60370,2025-07-31,2Q,1529000000,,678000000
60370,2025-07-31,3Q,2355000000,,1130000000
60370,2025-07-31,FY,3159000000,,1544000000
60370,2026-07-31,1Q,883000000,,497000000
60830,2021-05-31,2Q,6824000000,,-78000000
60850,2025-03-31,FY,897000000,,-96000000
61010,2022-03-31,FY,93174000000,,18860000000
61410,2021-12-31,1Q,81122000000,,3986000000
61410,2021-12-31,2Q,178246000000,,10208000000
61410,2021-12-31,3Q,274271000000,,16733000000
61410,2021-12-31,FY,396011000000,,23067000000
61410,2022-12-31,1Q,107262000000,,9451000000
61410,2022-12-31,2Q,218207000000,,17688000000
61410,2022-12-31,3Q,333032000000,,26755000000
61410,2022-12-31,FY,474771000000,,41213000000
61410,2023-12-31,1Q,123225000000,,9695000000
61410,2023-12-31,2Q,249538000000,,22558000000
61410,2023-12-31,3Q,380161000000,,35615000000
61410,2023-12-31,FY,539450000000,,54150000000
61410,2024-12-31,1Q,132851000000,,10772000000
61410,2024-12-31,2Q,263717000000,,23213000000
61410,2024-12-31,3Q,387960000000,,30004000000
61410,2024-12-31,FY,540945000000,,43726000000
61410,2025-12-31,1Q,114010000000,,1817000000
61410,2025-12-31,2Q,227487000000,,6509000000
61410,2025-12-31,3Q,343129000000,,11536000000
61410,2025-12-31,FY,514976000000,,18974000000
61490,2023-12-31,2Q,7927000000,,1313000000
61730,2021-02-28,FY,6025000000,,-446000000
61730,2023-02-28,2Q,2199000000,,-209000000
61860,2021-03-31,FY,14153000000,,-1904000000
62090,2024-03-31,3Q,96371000000,,5776000000
62230,2023-12-31,FY,28725000000,,4298000000
62270,2023-06-30,FY,15461000000,,666000000
62370,2023-03-31,2Q,17810000000,,1185000000
62650,2024-12-31,1Q,427000000,,70000000
62680,2025-12-31,FY,307912000000,,20726000000
62690,2024-12-31,2Q,302373000000,,30066000000
62760,2021-12-31,FY,4138000000,,3000000
62870,2024-03-31,FY,143446000000,,10383000000
62910,2020-12-31,FY,12487000000,,1414000000
62910,2022-12-31,FY,13172000000,,1105000000
62910,2023-12-31,FY,13646000000,,707000000
63010,2021-03-31,FY,2189512000000,,167328000000
63010,2022-03-31,1Q,648266000000,,61750000000
63010,2022-03-31,2Q,1291400000000,,136284000000
63010,2022-03-31,3Q,2014677000000,,223763000000
63010,2022-03-31,FY,2802323000000,,317015000000
63010,2023-03-31,1Q,763808000000,,93562000000
63010,2023-03-31,2Q,1618735000000,,211634000000
63010,2023-03-31,3Q,2539232000000,,346599000000
63010,2023-03-31,FY,3543475000000,,490685000000
63010,2024-03-31,1Q,899551000000,,147021000000
63010,2024-03-31,2Q,1822994000000,,296976000000
63010,2024-03-31,3Q,2794990000000,,453421000000
63010,2024-03-31,FY,3865122000000,,607194000000
63010,2025-03-31,1Q,959837000000,,156993000000
63010,2025-03-31,2Q,1968066000000,,303427000000
63010,2025-03-31,3Q,2957262000000,,466062000000
63010,2025-03-31,FY,4104395000000,,657125000000
63010,2026-03-31,1Q,909524000000,,140391000000
63010,2026-03-31,2Q,1891587000000,,277061000000
63010,2026-03-31,3Q,2915484000000,,419015000000
63050,2022-03-31,FY,1024961000000,,93518000000
63050,2023-03-31,1Q,267539000000,,20599000000
63100,2022-12-31,FY,166629000000,,3534000000
63170,2021-03-31,FY,48753000000,,551000000
63300,2021-03-31,FY,184000000000,,1615000000
63300,2022-03-31,1Q,53993000000,,1823000000
63300,2022-03-31,2Q,97509000000,,2375000000
63300,2022-03-31,3Q,139955000000,,1402000000
63300,2022-03-31,FY,202986000000,,2963000000
63300,2023-03-31,1Q,46169000000,,2295000000
63300,2023-03-31,2Q,96477000000,,3062000000
63300,2023-03-31,3Q,142048000000,,4474000000
63300,2023-03-31,FY,192908000000,,4764000000
63300,2024-03-31,1Q,54733000000,,907000000
63300,2024-03-31,2Q,117055000000,,3222000000
63300,2024-03-31,3Q,189373000000,,5450000000
63300,2024-03-31,FY,260825000000,,6712000000
63300,2025-03-31,1Q,62847000000,,979000000
63300,2025-03-31,2Q,121871000000,,2017000000
63300,2025-03-31,3Q,205589000000,,2035000000
63300,2025-03-31,FY,278091000000,,2591000000
63300,2026-03-31,1Q,49348000000,,669000000
63300,2026-03-31,2Q,94022000000,,-4228000000
63300,2026-03-31,3Q,131902000000,,-20995000000
63340,2024-03-31,2Q,1497000000,,-164000000
63390,2025-03-31,FY,150224000000,,3004000000
63660,2021-03-31,FY,315393000000,,7015000000
63660,2022-03-31,1Q,80479000000,,3506000000
63660,2022-03-31,2Q,147381000000,,6297000000
63660,2022-03-31,3Q,217098000000,,8276000000
63660,2022-03-31,FY,311115000000,,10545000000
63660,2023-03-31,1Q,75741000000,,3769000000
63660,2023-03-31,2Q,184312000000,,6110000000
63660,2023-03-31,3Q,308481000000,,13618000000
63660,2023-03-31,FY,430163000000,,18116000000
63660,2024-03-31,1Q,129392000000,,5099000000
63660,2024-03-31,2Q,271695000000,,10797000000
63660,2024-03-31,3Q,397463000000,,17818000000
63660,2024-03-31,FY,505981000000,,-15006000000
63660,2025-03-31,1Q,117019000000,,6413000000
63660,2025-03-31,1Q,117019000000,,6413000000
63660,2025-03-31,2Q,237342000000,,13730000000
63660,2025-03-31,3Q,346053000000,,19815000000
63660,2025-03-31,3Q,346053000000,,19815000000
63660,2025-03-31,FY,456969000000,,24421000000
63660,2026-03-31,1Q,90457000000,,5109000000
63660,2026-03-31,1Q,90457000000,,5109000000
63660,2026-03-31,2Q,194729000000,,15615000000
63660,2026-03-31,3Q,388191000000,,77694000000
63660,2026-03-31,3Q,388191000000,,77694000000
63760,2022-12-31,FY,177109000000,,34222000000
63760,2023-12-31,FY,192629000000,,5885000000
63790,2021-03-31,FY,145914000000,,10386000000
63790,2022-03-31,1Q,29903000000,,1353000000
63790,2022-03-31,2Q,67382000000,,5624000000
63790,2022-03-31,3Q,93822000000,,6780000000
63790,2022-03-31,FY,129832000000,,10982000000
63790,2023-03-31,1Q,29417000000,,1699000000
63790,2023-03-31,2Q,68747000000,,5497000000
63790,2023-03-31,3Q,102509000000,,7643000000
63790,2023-03-31,FY,140061000000,,10918000000
63790,2024-03-31,1Q,29974000000,,996000000
63790,2024-03-31,2Q,70219000000,,4190000000
63790,2024-03-31,3Q,102281000000,,6330000000
63790,2024-03-31,FY,140366000000,,9968000000
63790,2025-03-31,1Q,36561000000,,1948000000
63790,2025-03-31,2Q,75155000000,,3516000000
63790,2025-03-31,3Q,116439000000,,6893000000
63790,2025-03-31,FY,157371000000,,10858000000
63790,2026-03-31,1Q,35753000000,,1021000000
63790,2026-03-31,2Q,89340000000,,7893000000
63790,2026-03-31,3Q,131422000000,,11332000000
64400,2023-12-31,3Q,67546000000,,-2870000000
64550,2026-03-31,2Q,47187000000,,5136000000
64570,2021-03-31,FY,217423000000,,14201000000
64570,2022-03-31,1Q,48215000000,,2030000000
64570,2022-03-31,2Q,103154000000,,5735000000
64640,2021-12-31,1Q,16892000000,,1792000000
64640,2021-12-31,2Q,34738000000,,3625000000
64640,2021-12-31,3Q,51199000000,,5379000000
64640,2022-12-31,1Q,18627000000,,1525000000
64640,2022-12-31,2Q,38258000000,,1352000000
64640,2022-12-31,3Q,58409000000,,2662000000
64640,2022-12-31,3Q,58409000000,,2662000000
64640,2022-12-31,FY,79036000000,,-9065000000
64640,2023-12-31,1Q,19702000000,,1509000000
64640,2023-12-31,2Q,39565000000,,1896000000
64640,2023-12-31,3Q,59189000000,,2776000000
64640,2024-12-31,1Q,19966000000,,1507000000
64640,2024-12-31,3Q,58323000000,,2573000000
64640,2025-12-31,1Q,18273000000,,358000000
64640,2025-12-31,3Q,52762000000,,891000000
64710,2022-03-31,FY,865166000000,,29430000000
64920,2024-11-30,FY,8169000000,,1185000000
65230,2025-03-31,FY,361593000000,,22580000000
65390,2023-03-31,FY,4293000000,,1789000000
65400,2024-12-31,3Q,19334000000,,1187000000
65450,2023-03-31,FY,4464000000,,99000000
65470,2022-06-30,FY,25437000000,,-2157000000
65510,2023-09-30,FY,15027000000,,443000000
65520,2023-05-31,FY,3512000000,,337000000
65550,2022-02-28,1Q,310000000,,-52000000
65550,2022-02-28,2Q,784000000,,54000000
65550,2022-02-28,3Q,1269000000,,138000000
65550,2023-02-28,1Q,457000000,,25000000
65550,2023-02-28,2Q,992000000,,77000000
65550,2023-02-28,3Q,1518000000,,112000000
65550,2024-02-29,1Q,384000000,,-99000000
65550,2024-02-29,2Q,1019000000,,-19000000
65550,2024-02-29,3Q,1634000000,,10000000
65550,2025-02-28,1Q,427000000,,-123000000
65550,2025-02-28,3Q,1839000000,,47000000
65550,2026-02-28,1Q,496000000,,-72000000
65550,2026-02-28,3Q,1895000000,,136000000
65610,2022-12-31,3Q,1161000000,,-1312000000
65620,2021-03-31,FY,14061000000,,195000000
65630,2021-09-30,3Q,3706000000,,180000000
65630,2023-09-30,1Q,1961000000,,33000000
65630,2023-09-30,2Q,4132000000,,122000000
65630,2023-09-30,3Q,6138000000,,110000000
65650,2022-03-31,FY,6345000000,,959000000
65720,2022-02-28,FY,16796000000,,331000000
65720,2023-02-28,3Q,4436000000,,190000000
65730,2020-12-31,FY,667000000,,-264000000
65730,2020-12-31,FY,667000000,,-237000000
65840,2023-03-31,FY,137692000000,,1321000000
65860,2024-03-31,FY,741391000000,,66169000000
65990,2023-03-31,FY,4258000000,,656000000
66140,2022-03-31,1Q,1167000000,,43000000
66170,2021-03-31,FY,91939000000,,3382000000
66200,2021-03-31,FY,1619000000,,1043000000
66200,2021-03-31,FY,1619000000,,1043000000
66200,2022-03-31,1Q,365000000,,158000000
66200,2022-03-31,2Q,717000000,,271000000
66200,2022-03-31,3Q,1061000000,,385000000
66200,2022-03-31,FY,1407000000,,499000000
66200,2023-03-31,1Q,318000000,,88000000
66200,2023-03-31,2Q,666000000,,232000000
66200,2023-03-31,3Q,1000000000,,342000000
66200,2023-03-31,FY,1319000000,,466000000
66200,2024-03-31,1Q,277000000,,96000000
66200,2024-03-31,2Q,565000000,,229000000
66200,2024-03-31,3Q,855000000,,350000000
66200,2024-03-31,FY,1137000000,,421000000
66200,2025-03-31,1Q,277000000,,90000000
66200,2025-03-31,2Q,570000000,,201000000
66200,2025-03-31,3Q,816000000,,263000000
66200,2025-03-31,FY,1030000000,,284000000
66200,2026-03-31,1Q,163000000,,-7000000
66200,2026-03-31,2Q,304000000,,-39000000
66200,2026-03-31,3Q,384000000,,-158000000
66320,2022-03-31,FY,282088000000,,9054000000
66450,2021-03-31,FY,655529000000,,62480000000
66450,2022-03-31,1Q,188193000000,,25837000000
66450,2022-03-31,2Q,369351000000,,45727000000
66450,2022-03-31,3Q,558609000000,,66858000000
66450,2022-03-31,FY,762927000000,,89316000000
66450,2023-03-31,1Q,184386000000,,11935000000
66450,2023-03-31,2Q,404418000000,,41613000000
66450,2023-03-31,3Q,637977000000,,72854000000
66450,2023-03-31,FY,876082000000,,100686000000
66450,2024-03-31,1Q,203351000000,,14304000000
66450,2024-03-31,2Q,400674000000,,20651000000
66450,2024-03-31,3Q,607985000000,,26572000000
66450,2024-03-31,FY,818761000000,,34342000000
66450,2025-03-31,1Q,183713000000,,6267000000
66450,2025-03-31,2Q,374638000000,,19226000000
66450,2025-03-31,3Q,579698000000,,35904000000
66450,2025-03-31,FY,801753000000,,54038000000
66450,2026-03-31,1Q,189477000000,,6376000000
66450,2026-03-31,2Q,393448000000,,17719000000
66450,2026-03-31,3Q,614288000000,,33855000000
66590,2022-03-31,3Q,1589000000,,-637000000
66640,2024-11-30,FY,6342000000,,-532000000
66770,2021-09-30,FY,20440000000,,1664000000
66940,2021-12-31,1Q,2829000000,,346000000
66990,2023-03-31,FY,91106000000,,-1187000000
67030,2023-03-31,3Q,256591000000,,-4754000000
67070,2024-03-31,FY,235221000000,,19539000000
67230,2024-12-31,2Q,710597000000,,147565000000
67240,2022-03-31,1Q,282159000000,,23670000000
67240,2022-03-31,2Q,550597000000,,48127000000
67240,2022-03-31,3Q,846743000000,,78471000000
67240,2023-03-31,1Q,297874000000,,31214000000
