comparison_key,ticker,period,quarter,duplicate_count,sample_rows_json
1379|2026-03-31|FY,1379,2026-03-31,FY,2,"[{""ticker"": ""13790"", ""period"": ""2026-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2025-11-14"", ""fetched_at"": ""2026-03-02 12:46:43""}, {""ticker"": ""13790"", ""period"": ""2026-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2026-02-13"", ""fetched_at"": ""2026-03-02 12:46:43""}]"
1380|2023-03-31|FY,1380,2023-03-31,FY,2,"[{""ticker"": ""13800"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-02-10"", ""fetched_at"": ""2026-03-02 12:46:44""}, {""ticker"": ""13800"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": 7070000000, ""gross_profit"": 1653817000, ""operating_profit"": 19000000, ""disclosed_date"": ""2023-05-11"", ""fetched_at"": ""2026-03-02 12:46:44""}]"
1382|2021-06-30|FY,1382,2021-06-30,FY,3,"[{""ticker"": ""13820"", ""period"": ""2021-06-30"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2021-05-06"", ""fetched_at"": ""2026-03-02 12:46:46""}, {""ticker"": ""13820"", ""period"": ""2021-06-30"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2021-08-04"", ""fetched_at"": ""2026-03-02 12:46:46""}, {""ticker"": ""13820"", ""period"": ""2021-06-30"", ""quarter"": ""FY"", ""sales"": 3039000000, ""gross_profit"": 647115000, ""operating_profit"": 106000000, ""disclosed_date"": ""2021-08-05"", ""fetched_at"": ""2026-03-02 12:46:46""}]"
1382|2022-06-30|2Q,1382,2022-06-30,2Q,2,"[{""ticker"": ""13820"", ""period"": ""2022-06-30"", ""quarter"": ""2Q"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-02-03"", ""fetched_at"": ""2026-03-02 12:46:46""}, {""ticker"": ""13820"", ""period"": ""2022-06-30"", ""quarter"": ""2Q"", ""sales"": 1340000000, ""gross_profit"": 368636000, ""operating_profit"": 87000000, ""disclosed_date"": ""2022-02-04"", ""fetched_at"": ""2026-03-02 12:46:46""}]"
1382|2023-06-30|FY,1382,2023-06-30,FY,2,"[{""ticker"": ""13820"", ""period"": ""2023-06-30"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-08-08"", ""fetched_at"": ""2026-03-02 12:46:46""}, {""ticker"": ""13820"", ""period"": ""2023-06-30"", ""quarter"": ""FY"", ""sales"": 2489000000, ""gross_profit"": 664431000, ""operating_profit"": 135000000, ""disclosed_date"": ""2023-08-09"", ""fetched_at"": ""2026-03-02 12:46:46""}]"
1382|2024-06-30|2Q,1382,2024-06-30,2Q,2,"[{""ticker"": ""13820"", ""period"": ""2024-06-30"", ""quarter"": ""2Q"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-02-06"", ""fetched_at"": ""2026-03-02 12:46:46""}, {""ticker"": ""13820"", ""period"": ""2024-06-30"", ""quarter"": ""2Q"", ""sales"": 1416000000, ""gross_profit"": 306478000, ""operating_profit"": 35000000, ""disclosed_date"": ""2024-02-07"", ""fetched_at"": ""2026-03-02 12:46:46""}]"
1382|2024-06-30|FY,1382,2024-06-30,FY,2,"[{""ticker"": ""13820"", ""period"": ""2024-06-30"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-08-07"", ""fetched_at"": ""2026-03-02 12:46:46""}, {""ticker"": ""13820"", ""period"": ""2024-06-30"", ""quarter"": ""FY"", ""sales"": 2519000000, ""gross_profit"": 551989000, ""operating_profit"": 32000000, ""disclosed_date"": ""2024-08-08"", ""fetched_at"": ""2026-03-02 12:46:46""}]"
1382|2025-06-30|2Q,1382,2025-06-30,2Q,2,"[{""ticker"": ""13820"", ""period"": ""2025-06-30"", ""quarter"": ""2Q"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2025-02-05"", ""fetched_at"": ""2026-03-02 12:46:46""}, {""ticker"": ""13820"", ""period"": ""2025-06-30"", ""quarter"": ""2Q"", ""sales"": 1272000000, ""gross_profit"": 296014000, ""operating_profit"": 35000000, ""disclosed_date"": ""2025-02-06"", ""fetched_at"": ""2026-03-02 12:46:46""}]"
1382|2025-06-30|FY,1382,2025-06-30,FY,2,"[{""ticker"": ""13820"", ""period"": ""2025-06-30"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2025-08-06"", ""fetched_at"": ""2026-03-02 12:46:46""}, {""ticker"": ""13820"", ""period"": ""2025-06-30"", ""quarter"": ""FY"", ""sales"": 2412000000, ""gross_profit"": 550075000, ""operating_profit"": 38000000, ""disclosed_date"": ""2025-08-07"", ""fetched_at"": ""2026-03-02 12:46:46""}]"
1383|2021-10-31|FY,1383,2021-10-31,FY,2,"[{""ticker"": ""13830"", ""period"": ""2021-10-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2021-12-03"", ""fetched_at"": ""2026-03-02 12:46:47""}, {""ticker"": ""13830"", ""period"": ""2021-10-31"", ""quarter"": ""FY"", ""sales"": 5372000000, ""gross_profit"": 1330996000, ""operating_profit"": -54000000, ""disclosed_date"": ""2021-12-13"", ""fetched_at"": ""2026-03-02 12:46:47""}]"
